z, massflux, p, T, rho, M, alpha, dS, P_tot, T_tot
0.00179933110368, 94.1466631948, 152049.315015, 306.310432126, 1.72922318652, 0.164477388123, -2.47036804509, 0.00290685826549, 154975.653274, 307.996180961
0.00263210702341, 96.9376314387, 151872.418436, 306.209059336, 1.72778131432, 0.169273491821, -3.11310242151, 0.00506767076543, 154971.63537, 307.996137326
0.00346488294314, 99.5241062758, 151691.115649, 306.105018253, 1.72630265352, 0.173992406235, -3.76870088879, 0.00729912338879, 154967.255809, 307.996092853
0.00429765886288, 101.985343718, 151503.099799, 305.99705001, 1.72476789945, 0.178704800745, -4.45334674541, 0.00988897157422, 154962.298544, 307.996046768
0.00513043478261, 104.36127936, 151306.624595, 305.884018405, 1.72316331488, 0.183460463655, -5.17763564473, 0.0124979201479, 154956.871027, 307.995998097
0.00596321070234, 106.676568993, 151099.865073, 305.764752852, 1.72147426451, 0.188301208201, -5.95142311898, 0.0148627122098, 154951.013877, 307.995941877
0.00679598662207, 108.94044676, 150881.209471, 305.63831084, 1.71968725212, 0.193251753458, -6.78136023479, 0.0170920207667, 154944.550835, 307.995870434
0.00762876254181, 111.143088031, 150649.490266, 305.504104768, 1.71779163845, 0.198318514619, -7.67501335213, 0.0196575731238, 154937.12211, 307.995785275
0.00846153846154, 113.265572125, 150404.145666, 305.361807475, 1.71578221844, 0.203499141059, -8.64208750406, 0.0227548079829, 154928.523934, 307.995691375
0.00929431438127, 115.29022737, 150145.038975, 305.211265549, 1.71365762447, 0.208788431664, -9.69009865664, 0.02634369216, 154918.678004, 307.995589266
0.010127090301, 117.203155266, 149871.941165, 305.052437555, 1.71141484404, 0.214182548144, -10.8243689195, 0.030918812307, 154907.215828, 307.995472853
0.0109598662207, 118.999593618, 149585.615241, 304.885350986, 1.70906188277, 0.219681510752, -12.051108628, 0.035264757783, 154894.722924, 307.995345909
0.0117926421405, 120.684269412, 149286.174185, 304.710224547, 1.70659842963, 0.225285732143, -13.3689921215, 0.0400321641143, 154880.801662, 307.995207461
0.0126254180602, 122.264253415, 148974.646329, 304.527904946, 1.70403137298, 0.230981061143, -14.7710670545, 0.0460772637475, 154865.006718, 307.995049238
0.0134581939799, 123.734609561, 148653.949595, 304.339659505, 1.70138718443, 0.236739771068, -16.2486734603, 0.0518732628527, 154848.255832, 307.994881003
0.0142909698997, 125.089710064, 148324.283711, 304.145975081, 1.69866546469, 0.242555963864, -17.7932144335, 0.0586792902033, 154829.902419, 307.994698287
0.0151237458194, 126.319486109, 147988.248705, 303.948496669, 1.69588737948, 0.248397837983, -19.3975612667, 0.0667069204674, 154810.028491, 307.994505898
0.0159565217391, 127.418830718, 147647.795023, 303.748171588, 1.69307072233, 0.254252282207, -21.0506854845, 0.0750631056645, 154789.243567, 307.994298646
0.0167892976589, 128.391695213, 147300.824119, 303.543711809, 1.69019832267, 0.260156311016, -22.7430660398, 0.0836671403481, 154767.480866, 307.994077865
0.0176220735786, 129.241100267, 146944.157813, 303.333324136, 1.68724301068, 0.26615503093, -24.4690259432, 0.0930009274924, 154744.291707, 307.993849749
0.0184548494983, 129.967686247, 146575.443117, 303.115592781, 1.68418507455, 0.272282912191, -26.2262266118, 0.103158700438, 154719.437073, 307.993605408
0.0192876254181, 130.568930501, 146192.848686, 302.889359229, 1.68100937525, 0.278567799091, -28.0121848837, 0.114043317014, 154692.835144, 307.993352227
0.0201204013378, 131.040802093, 145794.892647, 302.653702251, 1.67770350344, 0.285029575768, -29.8227754327, 0.125654841978, 154664.333508, 307.993080257
0.0209531772575, 131.377890506, 145379.350486, 302.407327641, 1.67424836307, 0.291695725497, -31.6545930609, 0.138299352283, 154633.594651, 307.992802552
0.0217859531773, 131.573264247, 144944.288483, 302.148978783, 1.67062782722, 0.298590852008, -33.5050381503, 0.151867436286, 154600.453005, 307.992505457
0.022618729097, 131.620807676, 144487.462116, 301.877203111, 1.66682320203, 0.305743540145, -35.3712030999, 0.166248941459, 154564.737679, 307.992197419
0.0234515050167, 131.517717719, 144006.860416, 301.590815733, 1.6628169465, 0.313176614958, -37.2490379574, 0.181765339505, 154526.057228, 307.991873929
0.0242842809365, 131.256716343, 143500.968114, 301.288917828, 1.65859584414, 0.320904306785, -39.1343361715, 0.198676167685, 154484.087925, 307.991535328
0.0251170568562, 130.831855357, 142969.165858, 300.971032254, 1.65415476112, 0.328932260909, -41.0221174747, 0.216788497403, 154438.80398, 307.991178898
0.0259498327759, 130.237640132, 142411.844386, 300.637441675, 1.64949651021, 0.337250020563, -42.9047227019, 0.236300694229, 154390.098243, 307.990803775
0.0267826086957, 129.469915117, 141829.721798, 300.288566921, 1.64462694945, 0.345841461272, -44.773045972, 0.257210974875, 154337.981028, 307.990412566
0.0276153846154, 128.522090889, 141224.257026, 299.925375659, 1.63955765876, 0.354677032604, -46.6172345376, 0.279814961841, 154282.379368, 307.990004252
0.0284481605351, 127.391162963, 140597.616861, 299.549105963, 1.63430704767, 0.363722025396, -48.4275564742, 0.303820049298, 154223.579763, 307.98957891
0.0292809364548, 126.080866155, 139952.4919, 299.161441923, 1.62889733572, 0.372933013691, -50.1939086931, 0.32930149792, 154161.748362, 307.989137475
0.0301137123746, 124.594760054, 139292.891395, 298.764916393, 1.62336198308, 0.382250224073, -51.9074425769, 0.356365294954, 154097.184911, 307.988674569
0.0309464882943, 122.938774569, 138626.462475, 298.364344286, 1.61776564575, 0.391572472419, -53.5589672474, 0.384798777812, 154030.795453, 307.988196435
0.031779264214, 121.12957298, 137962.202238, 297.965424059, 1.61218416888, 0.400782110057, -55.1380479906, 0.414573757718, 153963.545541, 307.987697661
0.0326120401338, 119.198042605, 137307.604497, 297.572755272, 1.60668110664, 0.409782500577, -56.6347494374, 0.445384527697, 153896.39332, 307.987202809
0.0334448160535, 117.192496311, 136665.653787, 297.187941539, 1.60128167301, 0.418533209996, -58.040957759, 0.476850734186, 153829.688115, 307.986707196
0.0342775919732, 115.129202445, 136035.195683, 296.810271266, 1.59597397606, 0.427031730482, -59.3566231498, 0.509822364131, 153762.606973, 307.986192553
0.035110367893, 113.015137468, 135418.797254, 296.441265178, 1.59077859513, 0.435237865606, -60.5847667242, 0.544355061636, 153695.109313, 307.985660043
0.0359431438127, 110.890232512, 134816.33779, 296.080464578, 1.58569573623, 0.44316530096, -61.7259007019, 0.579538839949, 153627.549981, 307.985105191
0.0367759197324, 108.817370196, 134223.959506, 295.72578835, 1.58069031806, 0.450858747828, -62.7737590723, 0.61692801932, 153558.727018, 307.984532513
0.0376086956522, 106.824484088, 133644.65333, 295.37901, 1.57578633787, 0.458271519622, -63.7216823232, 0.656635322619, 153488.612503, 307.983957491
0.0384414715719, 104.903666189, 133091.401897, 295.048582478, 1.57108989891, 0.465220695724, -64.564753745, 0.699957376273, 153417.533213, 307.983350667
0.0392742474916, 103.033152266, 132587.536962, 294.748600173, 1.5667991651, 0.471416724478, -65.2982427387, 0.745170496232, 153348.500797, 307.982728728
0.0401070234114, 101.234540486, 132170.34065, 294.501868408, 1.56323046087, 0.476415586693, -65.9118571843, 0.790399649676, 153286.176321, 307.982087338
0.0409397993311, 99.4398284794, 131888.207061, 294.34287704, 1.56077021913, 0.479581461244, -66.4125555293, 0.850057145841, 153229.064426, 307.98135096
0.0417725752508, 97.448646794, 131779.849022, 294.309597713, 1.559678684, 0.480263868969, -66.8337134248, 0.968709030825, 153160.401998, 307.980179185
0.0426053511706, 94.8709656607, 131882.599934, 294.372342936, 1.56056708244, 0.479083798644, -67.3465385288, 0.959132694206, 153176.788657, 307.979081884
0.0434381270903, 90.4840954873, 132118.445899, 294.499157361, 1.562675249, 0.476082249645, -68.2236232513, 0.879921162889, 153229.21709, 307.972741539
0.04427090301, 83.8680434403, 132102.642752, 294.615610649, 1.56185706179, 0.473060765902, -69.2882347949, 1.29798683836, 153012.343775, 307.971147097
0.0451036789298, 83.7871078193, 132235.928845, 294.712978868, 1.56290883112, 0.471612564023, -69.9011831987, 1.33749632115, 153009.444674, 307.974384031
0.0459364548495, 83.7444810086, 132360.887635, 294.834198255, 1.56375251798, 0.469857859828, -70.12633335, 1.48196342296, 152958.425618, 307.974518612
0.0467692307692, 83.7983170072, 132426.617489, 294.90651274, 1.56415772351, 0.46891832152, -70.2110011395, 1.58720150727, 152920.763557, 307.975264812
0.047602006689, 83.8077554605, 132473.543369, 294.931537171, 1.56458904004, 0.468759076371, -70.275157707, 1.5715674485, 152938.538144, 307.976251229
0.0484347826087, 83.8057533628, 132508.818086, 294.943305816, 1.56495022328, 0.468772440358, -70.3191400903, 1.53578570741, 152964.90103, 307.978001163
0.0492675585284, 83.8069806301, 132535.80818, 294.959057319, 1.56519024405, 0.468651426633, -70.3364456423, 1.53119922011, 152975.693966, 307.980554394
0.0501003344482, 83.8461533238, 132538.736502, 294.939681479, 1.56531860745, 0.468375289182, -70.4127484914, 1.46410316976, 152914.862961, 307.917316225
0.0509331103679, 83.8426956416, 132543.390561, 294.941895668, 1.5653624422, 0.468323373881, -70.4027032426, 1.46123190016, 152917.864462, 307.918192169
