X, P, T, M, alpha, eta, rhou_x, Vx, P_tot, T_tot
0.07127090301, 130675.522188, 293.59021323, 0.473748508854, 54.4049565743, 0.881016985707, 145.994412307, 94.5138121495, 151203.032016, 306.76921121
0.0721070234114, 130656.370641, 293.585963414, 0.471712579499, 54.0504096543, 0.907934972774, 146.568958634, 94.8913678101, 151006.369516, 306.652166935
0.0729431438127, 130637.368654, 293.581746787, 0.469692549394, 53.6986315092, 0.934642748313, 147.143504962, 95.2659750129, 150811.24282, 306.536036698
0.073779264214, 130618.514483, 293.577562961, 0.467688233021, 53.3495898319, 0.961142765162, 147.718051289, 95.6376681616, 150617.634006, 306.420809833
0.0746153846154, 130638.551735, 293.590383512, 0.464729992151, 52.969926929, 0.960383700206, 148.077718382, 95.8473968058, 150391.244902, 306.273632907
0.0754515050167, 130677.799985, 293.611602535, 0.461301210513, 52.5752362328, 0.946156026971, 148.330356471, 95.9770416987, 150148.719917, 306.110708983
0.0762876254181, 130716.914766, 293.632749399, 0.457884088902, 52.1818877346, 0.931976736826, 148.58299456, 96.1062457169, 149907.01967, 305.948339102
0.0771237458194, 130755.896758, 293.653824474, 0.454478567941, 51.7898745996, 0.91784558339, 148.83563265, 96.2350111055, 149666.139962, 305.786520445
0.0779598662207, 130777.532405, 293.668247123, 0.451016668101, 51.3700085126, 0.919171559739, 149.060231411, 96.3558520389, 149407.010209, 305.619081398
0.0787959866221, 130792.875481, 293.680246031, 0.447540373296, 50.9408180342, 0.926069439358, 149.274671511, 96.4736280228, 149141.74345, 305.449902641
0.0796321070234, 130808.174538, 293.692210514, 0.444074051887, 50.5128588917, 0.932947529148, 149.489111611, 96.5910661106, 148877.237734, 305.281209254
0.0804682274247, 130823.429765, 293.70414072, 0.440617661014, 50.0861257935, 0.939805914151, 149.703551711, 96.7081677544, 148613.489791, 305.11299915
0.0813043478261, 130832.148529, 293.710522952, 0.436756784198, 49.5872654686, 0.942084270021, 149.91089304, 96.8242121178, 148315.709863, 304.922041264
0.0821404682274, 130834.040284, 293.71111031, 0.432472189226, 49.0129024413, 0.93957792334, 150.110786518, 96.9391848403, 147982.287526, 304.70726145
0.0829765886288, 130835.927007, 293.711696106, 0.428198990151, 48.4400670689, 0.937078242883, 150.310679996, 97.0538517656, 147649.752005, 304.493052894
0.0838127090301, 130837.808719, 293.712280346, 0.42393714157, 47.8687532648, 0.93458520209, 150.510573473, 97.168214112, 147318.099767, 304.27941332
0.0846488294314, 130839.035303, 293.712276417, 0.419682674811, 47.295591657, 0.931520760138, 150.71384987, 97.2848343246, 146986.522036, 304.065683745
0.0854849498328, 130794.657458, 293.671128334, 0.415171162614, 46.4889780738, 0.88792868606, 151.155097004, 97.5805967064, 146599.878907, 303.806804668
0.0863210702341, 130750.537952, 293.630219789, 0.410685913475, 45.6870600647, 0.844590376383, 151.596344138, 97.8746373541, 146215.486561, 303.549432614
0.0871571906355, 130706.674535, 293.589548695, 0.406226698731, 44.8897967468, 0.801503621664, 152.037591272, 98.1669712581, 145833.325401, 303.293554463
0.0879933110368, 130663.064985, 293.54911299, 0.401793292365, 44.0971477106, 0.758666238035, 152.478838406, 98.4576132356, 145453.376055, 303.039157245
0.0888294314381, 130608.1213, 293.51271132, 0.39611120067, 43.1947014811, 0.75466138644, 152.470555676, 98.4696781356, 144984.133462, 302.739334205
0.0896655518395, 130539.029396, 293.480752379, 0.388874326472, 42.1512748199, 0.797093590854, 151.924620821, 98.1484359989, 144403.042034, 302.381963268
0.0905016722408, 130469.439143, 293.448562924, 0.381585253884, 41.1003220927, 0.83983185182, 151.378685966, 97.8248767952, 143817.759289, 302.022014673
0.0913377926421, 130399.345131, 293.416140451, 0.374243416114, 40.0417615785, 0.882879492627, 150.832751111, 97.4989753649, 143228.239715, 301.65946043
0.0921739130435, 130328.741868, 293.383482421, 0.366848238134, 38.9755103687, 0.926239884854, 150.286816256, 97.1707061826, 142634.43714, 301.294272144
0.0930100334448, 130263.408314, 293.33369966, 0.358924465093, 37.7949640725, 0.899550103141, 149.069839283, 96.4270945088, 142058.594252, 300.918375
0.0938461538462, 130197.21975, 293.282409614, 0.350849723953, 36.5904866055, 0.869588143132, 147.826238892, 95.6545095333, 141474.062206, 300.535897665
0.0946822742475, 130129.908104, 293.230249283, 0.342637971345, 35.3655716751, 0.839117791331, 146.5826385, 94.8688154068, 140879.611875, 300.14693049
0.0955183946488, 130061.444548, 293.177196327, 0.334285690234, 34.119694659, 0.8081259975, 145.339038109, 94.0696756219, 140274.988658, 299.751306883
0.0963545150502, 129937.799335, 293.108190489, 0.326798316863, 32.8825140836, 0.84476628739, 143.909595411, 93.2191719027, 139694.451848, 299.392248076
0.0971906354515, 129783.898025, 293.030042279, 0.319673120844, 31.6351621508, 0.917123248027, 142.38598145, 92.3317625433, 139119.578409, 299.047995136
0.0980267558528, 129626.667419, 292.950203516, 0.312393787871, 30.3608266758, 0.991045482304, 140.862367489, 91.4251561577, 138532.268928, 298.696295088
0.0988628762542, 129465.998306, 292.868618742, 0.304955261666, 29.0586224956, 1.06658433716, 139.338753528, 90.4987230101, 137932.115454, 298.33690364
0.0996989966555, 129336.216735, 292.786487193, 0.297477996513, 27.7305880705, 1.07236844261, 137.374232852, 89.3223794071, 137390.70167, 297.992620982
0.100535117057, 129219.622765, 292.702464358, 0.289834172759, 26.3633170432, 1.04272885048, 135.194126514, 87.9956178191, 136868.582289, 297.649275362
0.101371237458, 129099.206834, 292.615687247, 0.281939783709, 24.9512267369, 1.01211766959, 133.014020175, 86.6253648556, 136329.347784, 297.294674838
0.10220735786, 128974.257994, 292.525811359, 0.273791590595, 23.4914062184, 0.980940748816, 130.834128495, 85.2106911646, 135772.249007, 296.928462453
0.103043478261, 128744.23847, 292.392789678, 0.267171948914, 21.8525061421, 1.03689140589, 128.695207622, 83.9900722747, 135217.105929, 296.589867823
0.103879598662, 128506.443852, 292.255271613, 0.26032855083, 20.1582081449, 1.09473330095, 126.556286749, 82.7281941588, 134643.197967, 296.239828055
0.104715719064, 128260.473143, 292.113025265, 0.25324985622, 18.405655107, 1.15456397364, 124.417365876, 81.4229288932, 134049.557329, 295.877752871
0.105551839465, 127978.707776, 291.926068635, 0.24717724131, 16.3914335462, 1.14283994335, 122.448260888, 80.2791072861, 133481.353941, 295.51006673
0.106387959866, 127674.004218, 291.712774072, 0.241553138773, 14.2101665249, 1.09299581303, 120.564969179, 79.2048826604, 132918.67571, 295.134248272
0.107224080268, 127359.630327, 291.492710211, 0.235750544897, 11.9596729442, 1.04156978669, 118.68167747, 78.0965655214, 132338.139842, 294.746502517
0.108060200669, 126950.725321, 291.239547625, 0.231511207036, 9.60891767045, 1.09280255519, 117.128686363, 77.2623948079, 131733.32719, 294.372729635
0.10889632107, 126480.035258, 290.964156423, 0.228234046776, 7.18225338741, 1.20900591488, 115.775574567, 76.5964689336, 131109.941565, 294.005738628
0.109732441472, 125998.212832, 290.682251899, 0.224879377886, 4.6981956873, 1.32795761843, 114.422462772, 75.9147931421, 130471.812148, 293.63006786
0.110568561873, 125570.259163, 290.382617693, 0.222444500682, 2.13598497872, 1.26917606769, 113.03494199, 75.2005580825, 129931.880476, 293.263452468
0.111404682274, 125142.84866, 290.073638671, 0.220120285241, -0.493250500251, 1.17799739211, 111.641601461, 74.4657497248, 129397.937011, 292.890796481
0.112240802676, 124704.507149, 289.770369332, 0.217057226501, -3.28389057309, 1.13359207379, 109.614122579, 73.3406212328, 128826.915677, 292.506482495
0.113076923077, 124243.648611, 289.48125645, 0.212352669495, -6.42357906294, 1.19417614431, 106.251202759, 71.346094559, 128175.395738, 292.09777964
0.113913043478, 123752.663603, 289.173244167, 0.207340574108, -9.76850998371, 1.25872061472, 102.888282938, 69.2211850447, 127481.285734, 291.66235975
0.11474916388, 123571.211659, 289.142840555, 0.206962146901, -10.0957746789, 1.57458264733, 102.436410243, 69.0240200543, 127280.997872, 291.622779242
0.115585284281, 123389.153893, 289.113028548, 0.206594691156, -10.4165837759, 1.89392527605, 101.993111681, 68.8310780417, 127080.508135, 291.58407441
0.116421404682, 123436.325997, 289.118558395, 0.205750830904, -10.5726782603, 1.80358398223, 101.553106567, 68.5148340477, 127099.075436, 291.569618049
0.117257525084, 123593.630087, 289.141060033, 0.20467470628, -10.6504980975, 1.51638512392, 101.114662392, 68.1380327658, 127222.767163, 291.566723548
0.118093645485, 123752.303335, 289.163757502, 0.203589216084, -10.7289955993, 1.22668643099, 100.676219281, 67.7579519748, 127347.535555, 291.563803881
0.118929765886, 123722.961666, 289.157751147, 0.203796143576, -10.7288851531, 1.27387450728, 100.753860401, 67.8275164714, 127324.739076, 291.562690222
0.119765886288, 123604.324706, 289.138124716, 0.204616843075, -10.691342184, 1.48110655457, 101.077170515, 68.1106382732, 127231.856523, 291.562445582
0.120602006689, 123486.445113, 289.118623654, 0.20543230018, -10.6540387694, 1.68701592934, 101.40047821, 68.3919516175, 127139.566785, 291.562202486
0.12143812709, 123502.836837, 289.12141609, 0.205308044748, -10.6627427094, 1.65859869109, 101.346842524, 68.3487669251, 127152.06618, 291.562088403
0.122274247492, 123583.548174, 289.134888102, 0.204733586589, -10.6935037913, 1.51793362365, 101.112848133, 68.1501182242, 127214.760762, 291.562035375
0.123110367893, 123664.63351, 289.148422528, 0.204156467011, -10.7244075434, 1.376616696, 100.878854144, 67.9505491661, 127277.745895, 291.561982117
