z	mom_ax	p	T	p_tot	T_tot	dS	alpha
   +8.735117e-02	   +1.521463e+02	   +1.306948e+05	   +2.935793e+02	   +1.457445e+05	   +3.032344e+02	   +7.925269e-01	   -4.475380e+01
   +8.858528e-02	   +1.526405e+02	   +1.306262e+05	   +2.935209e+02	   +1.451533e+05	   +3.028438e+02	   +7.432251e-01	   -4.354563e+01
   +8.981940e-02	   +1.518304e+02	   +1.305256e+05	   +2.934742e+02	   +1.442969e+05	   +3.023165e+02	   +8.041617e-01	   -4.200575e+01
   +9.105351e-02	   +1.510203e+02	   +1.304240e+05	   +2.934269e+02	   +1.434313e+05	   +3.017837e+02	   +8.657520e-01	   -4.044935e+01
   +9.228763e-02	   +1.501424e+02	   +1.303217e+05	   +2.933774e+02	   +1.425588e+05	   +3.012443e+02	   +9.209826e-01	   -3.886555e+01
   +9.352174e-02	   +1.483096e+02	   +1.302246e+05	   +2.933021e+02	   +1.417041e+05	   +3.006850e+02	   +8.770139e-01	   -3.710149e+01
   +9.475585e-02	   +1.464768e+02	   +1.301250e+05	   +2.932250e+02	   +1.408280e+05	   +3.001117e+02	   +8.319449e-01	   -3.529328e+01
   +9.598997e-02	   +1.445796e+02	   +1.300044e+05	   +2.931408e+02	   +1.399416e+05	   +2.995389e+02	   +8.093441e-01	   -3.345037e+01
   +9.722408e-02	   +1.423293e+02	   +1.297774e+05	   +2.930260e+02	   +1.390960e+05	   +2.990331e+02	   +9.176333e-01	   -3.161570e+01
   +9.845819e-02	   +1.400790e+02	   +1.295432e+05	   +2.929075e+02	   +1.382232e+05	   +2.985111e+02	   +1.029402e+00	   -2.972208e+01
   +9.969231e-02	   +1.373939e+02	   +1.293365e+05	   +2.927864e+02	   +1.373942e+05	   +2.979946e+02	   +1.071486e+00	   -2.776912e+01
   +1.009264e-01	   +1.341766e+02	   +1.291650e+05	   +2.926615e+02	   +1.366196e+05	   +2.974839e+02	   +1.023202e+00	   -2.573337e+01
   +1.021605e-01	   +1.309594e+02	   +1.289851e+05	   +2.925304e+02	   +1.358070e+05	   +2.969482e+02	   +9.725455e-01	   -2.359759e+01
   +1.033946e-01	   +1.277992e+02	   +1.286463e+05	   +2.923350e+02	   +1.349794e+05	   +2.964437e+02	   +1.056887e+00	   -2.116938e+01
   +1.046288e-01	   +1.246410e+02	   +1.282849e+05	   +2.921277e+02	   +1.341109e+05	   +2.959158e+02	   +1.150527e+00	   -1.861133e+01
   +1.058629e-01	   +1.217502e+02	   +1.278658e+05	   +2.918470e+02	   +1.332737e+05	   +2.953713e+02	   +1.124292e+00	   -1.560469e+01
   +1.070970e-01	   +1.189729e+02	   +1.274100e+05	   +2.915259e+02	   +1.324299e+05	   +2.948057e+02	   +1.042762e+00	   -1.231809e+01
   +1.083311e-01	   +1.166938e+02	   +1.268001e+05	   +2.911499e+02	   +1.315338e+05	   +2.942537e+02	   +1.124787e+00	   -8.833601e+00
   +1.095652e-01	   +1.146929e+02	   +1.260926e+05	   +2.907375e+02	   +1.305977e+05	   +2.937042e+02	   +1.304639e+00	   -5.195994e+00
   +1.107993e-01	   +1.126527e+02	   +1.254524e+05	   +2.902981e+02	   +1.297850e+05	   +2.931616e+02	   +1.246276e+00	   -1.421413e+00
   +1.120334e-01	   +1.104545e+02	   +1.248171e+05	   +2.898415e+02	   +1.289854e+05	   +2.926064e+02	   +1.120669e+00	   +2.518156e+00
   +1.132676e-01	   +1.054863e+02	   +1.241354e+05	   +2.894115e+02	   +1.280224e+05	   +2.919999e+02	   +1.202045e+00	   +7.180633e+00
