"Point",	"x_coord",	"y_coord",	"z_coord",	"u"
85,	+2.5001632184068745e-01,	+0.0000000000000000e+00,	+1.8357130909429067e-01,	0.8585858585858587
86,	+2.5001630368295052e-01,	+0.0000000000000000e+00,	+1.8401390928776462e-01,	0.8686868686868687
87,	+2.5001628552521360e-01,	+0.0000000000000000e+00,	+1.8445650948123854e-01,	0.8787878787878789
88,	+2.5001626736747667e-01,	+0.0000000000000000e+00,	+1.8489910967471249e-01,	0.8888888888888890
89,	+2.5001624920973975e-01,	+0.0000000000000000e+00,	+1.8534170986818643e-01,	0.8989898989898991
90,	+2.5001623105200282e-01,	+0.0000000000000000e+00,	+1.8578431006166035e-01,	0.9090909090909092
91,	+2.5001621289426590e-01,	+0.0000000000000000e+00,	+1.8622691025513430e-01,	0.9191919191919192
92,	+2.5001619473652897e-01,	+0.0000000000000000e+00,	+1.8666951044860824e-01,	0.9292929292929294
93,	+2.5001617657879205e-01,	+0.0000000000000000e+00,	+1.8711211064208216e-01,	0.9393939393939394
94,	+2.5001615842105512e-01,	+0.0000000000000000e+00,	+1.8755471083555611e-01,	0.9494949494949496
95,	+2.5001614026331814e-01,	+0.0000000000000000e+00,	+1.8799731102903006e-01,	0.9595959595959597
96,	+2.5001612210558122e-01,	+0.0000000000000000e+00,	+1.8843991122250398e-01,	0.9696969696969697
97,	+2.5001610394784429e-01,	+0.0000000000000000e+00,	+1.8888251141597792e-01,	0.9797979797979799
98,	+2.5001608579010737e-01,	+0.0000000000000000e+00,	+1.8932511160945187e-01,	0.9898989898989899
99,	+2.5001606763237044e-01,	+0.0000000000000000e+00,	+1.8976771180292579e-01,	1.0000000000000000
